EmployeeNumber,Surname,GivenName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit,MonthlySalary,AnnualSalary,AnnualLeave,SickLeave,OnLeave
5349,Courtois,Eddie,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,52.60433752,3.3047331360000003,72.22081804,Stores,1200,14400,9,3,0
5350,Muniz,Edward,M,Barriere,Baker,Bakery,Kamloops,Stores,48.78077188,4.511221603,88.78411913,Stores,1500,18000,11,0,0
5351,Scott,Christine,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,38.99718645,6.304400586,65.86046848,Stores,1200,14400,3,3,0
5352,Hernandez,Steven,M,Burnaby,Dairy Person,Dairy,Burnaby,Stores,37.47613071,3.400392221,32.72192631,Stores,1000,12000,13,3,0
5353,Henderson,Mary,F,Victoria,Produce Clerk,Produce,Victoria,Stores,31.57033846,3.520752032,11.8160601,Stores,2000,24000,1,3,0
5354,Banton,Viola,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,23.022084399999997,7.450134358,0.0,Stores,1200,14400,10,3,0
5355,Ashley,Sara,F,Fort St John,Produce Clerk,Produce,Fort St John,Stores,25.66670235,4.470087848,0.0,Stores,2000,24000,11,0,0
5356,Patterson,Elizabeth,F,Courtenay,Dairy Person,Dairy,Nanaimo,Stores,45.46297924,6.160869666,101.8289843,Stores,1000,12000,6,0,0
5357,Daniels,Kenneth,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,28.27581007,5.295288562,0.0,Stores,1500,18000,8,0,0
5358,Harty,Herbert,M,Oyama,Baker,Bakery,Kelowna,Stores,29.12998347,3.0962935660000004,25.31314712,Stores,1500,18000,5,1,0
5359,Simmons,Cristie,F,Kamloops,Baker,Bakery,Kamloops,Stores,39.57765423,3.2076134819999997,37.33549461,Stores,1500,18000,14,2,0
5360,Kincannon,William,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,44.64913184,3.642386075,57.88861825,Stores,1500,18000,4,0,0
5361,Morgan,Tracy,F,Fort Nelson,Produce Clerk,Produce,Fort Nelson,Stores,45.98376199,4.06827155,77.90983045,Stores,2000,24000,2,3,0
5362,Christensen,Theodore,M,Kelowna,Baker,Bakery,Kelowna,Stores,53.67899194,4.492124655,93.21242494,Stores,1500,18000,2,3,0
5363,Price,Carlos,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,22.83375218,2.9057342530000003,0.0,Stores,1200,14400,3,0,0
5364,Johnson,Karen,F,Agassiz,Baker,Bakery,Chilliwack,Stores,42.38275495,5.944275127999999,67.14174781,Stores,1500,18000,13,1,0
5365,Moreno,Michelle,F,Terrace,Shelf Stocker,Processed Foods,Terrace,Stores,53.26065746,4.221139481,104.1237053,Stores,2000,24000,4,0,0
5366,Voris,Lawrence,M,Blueberry,Baker,Bakery,Kamloops,Stores,44.84782573,5.238707218,99.30708005,Stores,1500,18000,7,2,0
5367,Underwood,Kevin,M,Surrey,Baker,Bakery,Surrey,Stores,46.11838444,6.293980212999999,63.6757414,Stores,1500,18000,2,0,0
5368,Swift,Kenneth,M,Brackendale,Baker,Bakery,Squamish,Stores,36.17217088,4.539095283,56.70451388,Stores,1500,18000,2,2,0
5369,Hankerson,Elizabeth,F,Fort St John,Baker,Bakery,Fort St John,Stores,47.72659454,5.105639378,104.29274670000001,Stores,1500,18000,8,0,0
5370,Cudney,Don,M,Coquitlam,Dairy Person,Dairy,Nanaimo,Stores,53.23121861,6.873204526,59.52981856,Stores,1000,12000,13,3,0
5371,Cooksey,Ralph,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,50.1670686,6.385909269,98.60444068,Stores,1200,14400,5,0,0
5372,Barrows,Sherry,F,Flatrock,Baker,Bakery,Fort St John,Stores,42.58609794,5.2999378219999995,84.62119100000001,Stores,1500,18000,7,2,0
5373,Gibson,Katherine,F,Sardis,Dairy Person,Dairy,Chilliwack,Stores,52.10656596,2.369660572,142.71349519999998,Stores,1000,12000,11,0,0
5374,Wilson,Millard,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,49.55251637,3.232923158,100.3996135,Stores,1200,14400,4,3,0
5375,Stine,Oscar,M,New Westminster,Baker,Bakery,New Westminster,Stores,41.90340621,4.092004386,66.4087424,Stores,1500,18000,5,3,0
5376,Scott,Philip,M,Nanaimo,Dairy Person,Dairy,Nanaimo,Stores,31.22841977,3.441088015,0.0,Stores,1000,12000,6,3,0
5377,Byrd,Steven,M,Campbell River,Dairy Person,Dairy,Nanaimo,Stores,39.59149937,3.0479676419999997,35.23270952,Stores,1000,12000,13,3,0
5378,Brown,Arthur,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,56.09370089,4.336118588,124.7234124,Stores,1200,14400,13,2,0
5379,Worcester,Judith,F,West Vancouver,Dairy Person,Dairy,West Vancouver,Stores,48.10898518,3.9815798910000004,58.73234112,Stores,1000,12000,6,2,0
5380,Tuggle,Linda,F,Port Coquitlam,Shelf Stocker,Processed Foods,Port Coquitlam,Stores,35.23125525,4.363717099,61.06343827,Stores,2000,24000,10,2,0
5381,Turner,Jo,F,Little Fort,Baker,Bakery,Kamloops,Stores,43.88831009,3.83812499,63.26922227,Stores,1500,18000,4,2,0
5382,Siller,John,M,New Westminster,Baker,Bakery,New Westminster,Stores,40.57483805,6.360838241000001,24.65369632,Stores,1500,18000,9,2,0
5383,Brimmer,Gregg,M,Sidney,Produce Clerk,Produce,Victoria,Stores,37.14251607,4.596080129,35.04954416,Stores,2000,24000,14,0,0
5384,Moss,David,M,Port Alberni,Dairy Person,Dairy,Nanaimo,Stores,65.16210494,4.871502326,198.3897497,Stores,1000,12000,2,2,0
5385,Castorena,Amy,F,Kaslo,Produce Clerk,Produce,Cranbrook,Stores,32.84901567,4.257008156,17.08153529,Stores,2000,24000,1,2,0
5386,Nelson,Martha,F,Gibsons,Dairy Person,Dairy,West Vancouver,Stores,36.99239415,3.854227733,37.56701074,Stores,1000,12000,0,0,0
5387,Robinson,Clara,F,Greenwood,Meat Cutter,Meats,Grand Forks,Stores,50.24417162,6.473267008,61.07854352,Stores,900,10800,13,0,0
5388,Gentry,Thomas,M,Ucluelet,Dairy Person,Dairy,Nanaimo,Stores,45.97881262,4.260346771,74.30929287,Stores,1000,12000,8,2,0
5389,Reyes,John,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,43.60582928,4.418810368,79.19759974,Stores,1200,14400,0,3,0
5390,Houck,Michelle,F,Williams Lake,Baker,Bakery,Williams Lake,Stores,36.94718642,4.768575341,47.19370097,Stores,1500,18000,1,3,0
5391,Purnell,Michael,M,Coquitlam,Dairy Person,Dairy,Nanaimo,Stores,40.28544885,5.491956201,44.92724151,Stores,1000,12000,12,1,0
5392,Robinson,Evelyn,F,Douglas Lake,Baker,Bakery,Kamloops,Stores,39.64811977,5.776317605,63.77906222,Stores,1500,18000,9,0,0
5393,Stanley,James,M,Port Mcneill,Dairy Person,Dairy,Nanaimo,Stores,28.63727936,5.6885437670000005,0.0,Stores,1000,12000,5,0,0
5394,Mitchell,Aaron,M,Duncan,Baker,Bakery,Quesnel,Stores,32.20086547,3.469123672,32.45280972,Stores,1500,18000,13,0,0
5395,Hitchcock,Jacquelyn,F,Port Alberni,Dairy Person,Dairy,Nanaimo,Stores,29.75496816,4.345229206,2.5040238230000003,Stores,1000,12000,2,1,0
5396,Wright,Johnny,M,Williams Lake,Baker,Bakery,Williams Lake,Stores,43.30697132,5.62494168,73.19771525,Stores,1500,18000,3,1,0
5397,Sprague,Mary,F,Victoria,Produce Clerk,Produce,Victoria,Stores,44.85532837,5.181656341,73.36610336,Stores,2000,24000,7,1,0
5398,Walker,Nell,F,New Westminster,Baker,Bakery,New Westminster,Stores,45.10258651,5.364933295,71.78177906,Stores,1500,18000,4,3,0
5399,Flanagan,Mario,M,West Vancouver,Dairy Person,Dairy,West Vancouver,Stores,38.88383839,4.1554466230000005,46.12371953,Stores,1000,12000,0,2,0
5400,Clancy,Tina,F,New Westminster,Baker,Bakery,New Westminster,Stores,33.0339604,2.417332342,30.1118422,Stores,1500,18000,0,1,0
5401,Norwood,William,M,Black Point,Dairy Person,Dairy,Vernon,Stores,51.13861935,5.755707575,86.56616459,Stores,1000,12000,0,2,0
5402,Donovan,Maria,F,Terrace,Shelf Stocker,Processed Foods,Terrace,Stores,35.12960938,4.210665334,11.40750793,Stores,2000,24000,1,2,0
5403,Bojorquez,Dennis,M,Surrey,Baker,Bakery,Surrey,Stores,26.59074859,5.425369909,0.0,Stores,1500,18000,1,3,0
5404,Riley,Virginia,F,Kelowna,Baker,Bakery,Kelowna,Stores,44.62423065,1.948499353,72.79280968,Stores,1500,18000,12,3,0
5405,Gomez,Sergio,M,Abbotsford,Produce Clerk,Produce,Abbotsford,Stores,61.16577099,5.346096153,140.5490144,Stores,2000,24000,11,3,0
5406,Leclair,Heather,F,Hemlock Valley,Dairy Person,Dairy,Chilliwack,Stores,42.33976701,6.434413317000001,78.2237929,Stores,1000,12000,13,0,0
5407,Delisle,Frank,M,Granisle,Shelf Stocker,Processed Foods,Terrace,Stores,37.88857797,3.4426988489999997,0.0,Stores,2000,24000,3,1,0
5408,Pratt,Patrick,M,Winfield,Baker,Bakery,Kelowna,Stores,19.89147034,2.4616446990000003,0.0,Stores,1500,18000,6,3,0
5409,Gaston,Carol,F,New Westminster,Baker,Bakery,New Westminster,Stores,41.84308432,5.312966629,77.04638582,Stores,1500,18000,3,0,0
5410,Cano,Carole,F,Golden,Produce Clerk,Produce,Cranbrook,Stores,43.6415451,4.911390117,45.11060978,Stores,2000,24000,1,0,0
5411,Skelley,Dominic,M,Prince George,Baker,Bakery,Prince George,Stores,29.23853467,6.238620147000001,0.0,Stores,1500,18000,2,1,0
5412,Brown,Luella,F,Kaslo,Produce Clerk,Produce,Cranbrook,Stores,58.54128755,4.530338207,179.85728369999998,Stores,2000,24000,13,2,0
5413,Collins,Susan,F,Peachland,Baker,Bakery,Kelowna,Stores,45.84639334,6.358303412000001,72.42131117,Stores,1500,18000,5,1,0
5414,Strauser,Belinda,F,New Westminster,Baker,Bakery,New Westminster,Stores,21.79614038,2.313279869,0.0,Stores,1500,18000,13,1,0
5415,Burke,Margaret,F,Burnaby,Dairy Person,Dairy,Burnaby,Stores,30.623687899999997,7.7083607139999994,0.0,Stores,1000,12000,13,0,0
5416,Smith,Kim,M,Victoria,Produce Clerk,Produce,Victoria,Stores,46.14656352,4.750199978,16.72767087,Stores,2000,24000,7,2,0
5417,Walker,Christopher,M,Victoria,Produce Clerk,Produce,Victoria,Stores,28.45352048,4.233046208,0.0,Stores,2000,24000,14,0,0
5418,Broach,Richard,M,Sidney,Produce Clerk,Produce,Victoria,Stores,45.92173429,6.209695528999999,60.03443636,Stores,2000,24000,9,2,0
5419,Shepherd,Jazmin,F,New Westminster,Baker,Bakery,New Westminster,Stores,29.81064827,2.654516512,0.0,Stores,1500,18000,11,2,0
5420,Chandler,Wallace,M,Richmond,Baker,Bakery,Richmond,Stores,38.01409202,6.475202703,7.354981765,Stores,1500,18000,5,3,0
5421,Mosqueda,Donald,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,39.76554349,4.920779389,20.49649394,Stores,1200,14400,4,1,0
5422,Benoit,Hazel,F,North Vancouver,Dairy Person,Dairy,North Vancouver,Stores,39.70063217,5.53895947,50.50600106,Stores,1000,12000,1,3,0
5423,Witt,Francisco,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,58.26129461,5.233502804,132.1989772,Stores,1200,14400,7,1,0
5424,Terrell,John,M,Burnaby,Dairy Person,Dairy,Burnaby,Stores,51.98270982,6.41018741,100.33506820000001,Stores,1000,12000,0,2,0
5425,Fleming,Bernadette,F,Mayne Island,Produce Clerk,Produce,Victoria,Stores,18.86385302,4.067708058,0.0,Stores,2000,24000,12,1,0
5426,Giles,Arlene,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,42.40493787,7.71902049,43.64016059,Stores,1200,14400,13,3,0
5427,Torres,John,M,Burnaby,Dairy Person,Dairy,Burnaby,Stores,48.56699129,4.667272038,80.6931964,Stores,1000,12000,13,2,0
5428,Bloomfield,Ellen,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,63.95106044,5.943978382,214.56579539999998,Stores,1200,14400,13,0,0
5429,Dingle,Leona,F,Fort Nelson,Produce Clerk,Produce,Fort Nelson,Stores,43.68037612,3.254958274,85.18009194,Stores,2000,24000,4,3,0
5430,Williams,Lacey,F,North Vancouver,Dairy Person,Dairy,North Vancouver,Stores,43.72371929,6.2827956789999995,60.27097361,Stores,1000,12000,10,3,0
5431,Boyles,Elizabeth,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,18.74513868,4.464629929,0.0,Stores,1200,14400,3,0,0
5432,Casteel,Marcus,M,Coquitlam,Dairy Person,Dairy,Nanaimo,Stores,37.84283252,3.384089837,47.87953875,Stores,1000,12000,13,2,0
5433,Burns,Lois,F,Langley,Dairy Person,Dairy,Langley,Stores,48.06353313,3.549884809,74.54868456,Stores,1000,12000,14,0,0
5434,McCarter,Elizabeth,F,New Westminster,Baker,Bakery,New Westminster,Stores,21.18852913,3.9202818039999996,0.0,Stores,1500,18000,3,1,0
5435,Cuellar,Betty,F,New Westminster,Baker,Bakery,New Westminster,Stores,56.31023441,3.256161671,153.1302197,Stores,1500,18000,2,0,0
5436,Lucas,Richard,M,North Vancouver,Dairy Person,Dairy,North Vancouver,Stores,39.92647811,5.5411325389999995,44.25688284,Stores,1000,12000,7,1,0
5437,Baber,Benjamin,M,Oyama,Baker,Bakery,Kelowna,Stores,52.05147553,2.23992618,86.41693269,Stores,1500,18000,13,2,0
5438,Escobedo,John,M,Prince George,Baker,Bakery,Prince George,Stores,37.16653837,4.9975039919999995,0.0,Stores,1500,18000,7,0,0
5439,Stack,Chris,M,Tappen,Dairy Person,Dairy,Vernon,Stores,55.66681375,6.294004371000001,93.93826695,Stores,1000,12000,6,0,0
5440,Green,Anthony,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,35.66822507,5.157882488,15.00043481,Stores,1200,14400,5,2,0
5441,Midgley,Connie,F,Parson,Produce Clerk,Produce,Cranbrook,Stores,44.86584937,6.644871449,15.36379735,Stores,2000,24000,7,0,0
5442,Gonzalez,Georgia,F,Surrey,Baker,Bakery,Surrey,Stores,45.58722117,4.140922467,36.05779158,Stores,1500,18000,7,2,0
5443,Battista,Sheila,F,Terrace,Shelf Stocker,Processed Foods,Terrace,Stores,49.38204867,5.826630539,100.94303199999999,Stores,2000,24000,2,3,0
5444,Easter,Jesus,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,52.84993328,3.2879204769999997,85.22214739,Stores,1200,14400,0,3,0
5445,Cloud,Nicholas,M,Slocan,Baker,Bakery,Trail,Stores,36.74838413,5.62887637,0.0,Stores,1500,18000,9,2,0
5446,Teal,Renita,F,New Westminster,Baker,Bakery,New Westminster,Stores,27.254480600000004,2.564510589,0.0,Stores,1500,18000,4,3,0
5447,Pennebaker,Brian,M,Willow Point,Dairy Person,Dairy,Trail,Stores,47.95925967,4.910249455,81.74352859,Stores,1000,12000,8,1,0
5448,Adams,Christopher,M,Taylor,Baker,Bakery,Fort St John,Stores,27.91524487,6.959975355,0.0,Stores,1500,18000,3,1,0
5449,Vandyne,Karen,F,Abbotsford,Produce Clerk,Produce,Abbotsford,Stores,56.54265591,3.7704900880000003,132.0490462,Stores,2000,24000,7,1,0
5450,Elliott,Lilly,F,Vavenby,Baker,Bakery,Kamloops,Stores,51.27047359,2.081339879,77.19477573,Stores,1500,18000,7,0,0
5451,Godfrey,Dwayne,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,50.89158624,4.157291548,52.39677233,Stores,1200,14400,5,1,0
5452,Scott,Catherine,F,Victoria,Produce Clerk,Produce,Victoria,Stores,33.77685205,6.70454166,0.0,Stores,2000,24000,3,2,0
5453,Gilder,Travis,M,Nanaimo,Dairy Person,Dairy,Nanaimo,Stores,57.23192911,3.8021087380000003,120.04888319999999,Stores,1000,12000,10,1,0
5454,Day,Herman,M,Castlegar,Dairy Person,Dairy,Trail,Stores,36.21725616,4.854995857,10.14464429,Stores,1000,12000,6,3,0
5455,Sasser,Wyatt,M,Surrey,Baker,Bakery,Surrey,Stores,45.66183528,3.480960542,73.6701824,Stores,1500,18000,5,1,0
5456,Reynolds,Marvin,M,Nanaimo,Dairy Person,Dairy,Nanaimo,Stores,48.65217552,5.445491387000001,109.3028419,Stores,1000,12000,11,0,0
5457,Bryant,Shawn,M,Burnaby,Dairy Person,Dairy,Burnaby,Stores,30.95600805,5.0363269530000006,0.0,Stores,1000,12000,10,1,0
5458,Davidson,Ivan,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.12059322,2.9834086230000003,75.82253652,Stores,1500,18000,13,0,0
5459,Nickerson,Thomas,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,40.22947206,6.335235982,20.669905899999996,Stores,1200,14400,1,1,0
5460,Barber,Steven,M,Fort St John,Baker,Bakery,Fort St John,Stores,29.36997604,5.373955922,0.0,Stores,1500,18000,6,1,0
5461,Dengler,Howard,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,41.15521814,5.684261452,86.45536214,Stores,1200,14400,7,0,0
5462,Bare,Sandy,F,New Westminister,Meat Cutter,Meats,New Westminister,Stores,18.29635679,6.947374407000001,0.0,Stores,900,10800,11,3,0
5463,Smith,David,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,52.98450225,6.389485066000001,87.22235084,Stores,1200,14400,11,0,0
5464,Brooks,Arthur,M,Vanderhoof,Baker,Bakery,Prince George,Stores,51.14507321,4.350099375,95.66534692,Stores,1500,18000,4,2,0
5465,Mireles,Chad,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,25.41405126,2.783568839,0.0,Stores,1200,14400,3,3,0
5466,Schuetz,Mary,F,Kelowna,Baker,Bakery,Kelowna,Stores,20.92480065,7.213713107,0.0,Stores,1500,18000,1,3,0
5467,Burgess,Long,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,24.43013348,3.550225812,0.0,Stores,1200,14400,12,2,0
5468,Baker,Charles,M,Burnaby,Dairy Person,Dairy,Burnaby,Stores,44.05396086,4.654745381000001,65.62982355,Stores,1000,12000,13,3,0
5469,Kouba,Ora,F,Burnaby,Dairy Person,Dairy,Burnaby,Stores,39.58276996,5.569086641,53.72390068,Stores,1000,12000,11,2,0
5470,Leff,Pat,F,Salmon Arm,Baker,Bakery,Kamloops,Stores,36.65213018,3.8772960569999997,35.22832539,Stores,1500,18000,3,0,0
5471,Morin,Kent,M,Parksville,Dairy Person,Dairy,Nanaimo,Stores,31.83159013,3.648193955,14.30249767,Stores,1000,12000,5,2,0
5472,Henry,Lillian,F,Abbotsford,Produce Clerk,Produce,Abbotsford,Stores,44.41342574,3.3524301010000004,112.24145,Stores,2000,24000,13,3,0
5473,Gouin,Louis,M,Richmond,Baker,Bakery,Richmond,Stores,34.41056104,5.882737324,18.61685271,Stores,1500,18000,11,3,0
5474,Rowe,Ruth,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,38.46452064,4.593707212,22.45783056,Stores,1200,14400,0,2,0
5475,Perdomo,Raymond,M,Tatla Lake,Baker,Bakery,Williams Lake,Stores,50.94098881,4.74919581,85.25220129,Stores,1500,18000,9,3,0
5476,Bullock,Lula,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,28.23381674,4.77164931,0.0,Stores,1200,14400,14,2,0
5477,Cook,Irving,M,Ocean Falls,Dairy Person,Dairy,Ocean Falls,Stores,42.2100266,3.44863038,55.37043657,Stores,1000,12000,14,1,0
5478,Hathcock,Reuben,M,Nelson,Produce Clerk,Produce,Nelson,Stores,54.69056424,4.80110789,64.28634968,Stores,2000,24000,2,3,0
5479,Dickey,Angelique,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.71177125,4.428019697,0.0,Stores,1500,18000,5,0,0
5480,Seaberg,Jessica,F,Montney,Baker,Bakery,Fort St John,Stores,16.84421636,4.77410505,0.0,Stores,1500,18000,8,1,0
5481,Garcia,Augustine,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,54.85824664,4.271753961,151.15489250000002,Stores,1200,14400,7,0,0
5482,Cabrales,Peter,M,Williams Lake,Baker,Bakery,Williams Lake,Stores,47.54226849,4.987073565,86.94860655,Stores,1500,18000,2,3,0
5483,McCane,Charles,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,44.20371547,4.536146574,82.67531136,Stores,1200,14400,7,1,0
5484,Nguyen,Giuseppe,M,Union Bay,Dairy Person,Dairy,Nanaimo,Stores,60.03756955,6.8123451610000005,118.09365679999999,Stores,1000,12000,8,1,0
5485,Moore,Sarah,F,Forest Grove,Baker,Bakery,Kamloops,Stores,40.73772391,6.5451816460000005,47.34809859,Stores,1500,18000,1,1,0
5486,Colon,Jerry,M,Richmond,Baker,Bakery,Richmond,Stores,54.65319595,4.9313972580000005,109.96037350000002,Stores,1500,18000,8,3,0
5487,Bullock,Blaine,M,New Westminster,Baker,Bakery,New Westminster,Stores,52.14101738,6.437206753,91.15867221,Stores,1500,18000,11,3,0
5488,Garcia,Maurice,M,Langley,Dairy Person,Dairy,Langley,Stores,63.41597075,3.5021065410000003,147.53184330000002,Stores,1000,12000,3,3,0
5489,Suh,Brian,M,Crawford Bay,Produce Clerk,Produce,Cranbrook,Stores,52.29821727,0.782737965,58.2377545,Stores,2000,24000,14,0,0
5490,Evans,Philip,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,39.45204541,6.819063811,43.17119057,Stores,1200,14400,7,2,0
5491,German,Reda,F,Fairmont Hot Springs,Baker,Bakery,Cranbrook,Stores,54.20354878,6.232640855,74.47134077,Stores,1500,18000,7,1,0
5492,Johnson,Sonya,F,Duncan,Dairy Person,Dairy,Quesnel,Stores,28.58559399,1.111948714,21.19895058,Stores,1000,12000,11,0,0
5493,Luong,Diane,F,Surrey,Baker,Bakery,Surrey,Stores,39.73678576,3.30607087,32.50864121,Stores,1500,18000,11,2,0
5494,Perry,Jan,F,Squamish,Baker,Bakery,Squamish,Stores,52.90403864,5.826458151000001,101.35611829999999,Stores,1500,18000,3,2,0
5495,Martinez,Thomas,M,Victoria,Produce Clerk,Produce,Victoria,Stores,34.21338965,4.1687170380000005,14.75468237,Stores,2000,24000,6,2,0
5496,Curry,Jamie,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,62.5196549,5.669483391,238.90981549999998,Stores,1200,14400,0,2,0
5497,Oyler,Jeanne,F,Port Alberni,Dairy Person,Dairy,Nanaimo,Stores,38.92387681,6.870293477000001,52.30337646,Stores,1000,12000,0,0,0
5498,Brunner,Robert,M,Kelowna,Baker,Bakery,Kelowna,Stores,34.73558979,4.9572236819999995,9.817410318,Stores,1500,18000,5,3,0
5499,Hull,Diane,F,New Westminster,Baker,Bakery,New Westminster,Stores,17.81603987,1.6570817569999998,0.0,Stores,1500,18000,10,3,0
5500,Hutchinson,Brooke,F,Grasmere,Baker,Bakery,Cranbrook,Stores,55.21348067,3.733928235,134.03460829999997,Stores,1500,18000,7,1,0
5501,Pruitt,Megan,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,47.39795987,2.523837875,132.8359652,Stores,1200,14400,7,2,0
5502,Sheffield,Marvin,M,Fort Nelson,Baker,Bakery,Fort Nelson,Stores,55.86816055,5.706445177999999,120.9973527,Stores,1500,18000,11,2,0
5503,Colburn,Mark,M,Kamloops,Baker,Bakery,Kamloops,Stores,52.24353882,4.519587821,104.9166337,Stores,1500,18000,7,1,0
5504,Finkle,Pat,M,Kamloops,Baker,Bakery,Kamloops,Stores,26.21397506,4.463203252,0.0,Stores,1500,18000,1,2,0
5505,Kelly,Bobby,M,Vernon,Dairy Person,Dairy,Vernon,Stores,39.30016261,5.447777518,85.36949408,Stores,1000,12000,0,1,0
5506,Ramirez,Mary,F,Victoria,Produce Clerk,Produce,Victoria,Stores,30.64369465,1.030477604,17.98356325,Stores,2000,24000,1,0,0
5507,Porter,John,M,Kelowna,Baker,Bakery,Kelowna,Stores,28.06008028,3.988074966,0.0,Stores,1500,18000,11,2,0
5508,Hatchett,Charles,M,Victoria,Produce Clerk,Produce,Victoria,Stores,50.22102213,3.9572140019999997,98.98629368,Stores,2000,24000,9,1,0
5509,Castillo,Julia,F,White Rock,Cashier,Customer Service,White Rock,Stores,23.89944221,5.59397554,0.0,Stores,1200,14400,12,2,0
5510,Larson,Eddie,M,Cumberland,Produce Clerk,Produce,Victoria,Stores,41.53531959,0.053278544000000004,62.09530507,Stores,2000,24000,7,0,0
5511,Waddy,Gale,F,Chetwynd,Baker,Bakery,Prince George,Stores,51.9173954,5.040683227,70.78119977,Stores,1500,18000,3,1,0
5512,Thompson,Amanda,F,Langley,Dairy Person,Dairy,Langley,Stores,39.50972656,6.7303456210000006,84.92940065,Stores,1000,12000,1,0,0
5513,Garcia,Stephanie,F,Squamish,Baker,Bakery,Squamish,Stores,37.69139311,1.595570775,9.832914008,Stores,1500,18000,11,3,0
5514,Grimshaw,Karl,M,Surrey,Baker,Bakery,Surrey,Stores,43.53697448,6.596296525,65.69588426,Stores,1500,18000,13,2,0
5515,Lay,Theodore,M,Fernie,Baker,Bakery,Cranbrook,Stores,22.21006455,4.6834814410000005,0.0,Stores,1500,18000,5,3,0
5516,Freeman,Sherri,F,Fort Langley,Dairy Person,Dairy,Langley,Stores,51.532891799999994,2.140174193,147.7588154,Stores,1000,12000,13,1,0
5517,Leone,Helen,F,Cortes Island,Dairy Person,Dairy,Cortes Island,Stores,38.54974853,3.182270884,50.431112799999994,Stores,1000,12000,14,1,0
5518,James,Susan,F,Penticton,Baker,Bakery,Kelowna,Stores,30.66874239,7.337580477,42.00338154,Stores,1500,18000,11,0,0
5519,Tyson,Jennie,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,37.42997634,5.325075712,33.22773315,Stores,1200,14400,14,2,0
5520,Bond,Ollie,M,Fort Nelson,Baker,Bakery,Fort Nelson,Stores,33.87747369,4.870960393,0.0,Stores,1500,18000,2,0,0
5521,Morris,Roger,M,Cranbrook,Baker,Bakery,Cranbrook,Stores,43.72817394,2.469057603,58.28226209,Stores,1500,18000,14,1,0
5522,Weis,Rita,F,Boston Bar,Dairy Person,Dairy,Chilliwack,Stores,34.26675806,8.126505677,54.01474577,Stores,1000,12000,2,3,0
5523,Watkins,Evangeline,F,West Vancouver,Dairy Person,Dairy,West Vancouver,Stores,38.06551397,6.942303938999999,77.77542257,Stores,1000,12000,0,2,0
5524,Dubois,Jeffrey,M,Vernon,Dairy Person,Dairy,Vernon,Stores,27.93510881,4.697636333,21.23154207,Stores,1000,12000,7,1,0
5525,Bowley,Alan,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,41.98726622,4.734267804,34.69794919,Stores,1200,14400,6,0,0
5526,Murphy,Scott,M,Francois Lake,Dairy Person,Dairy,Prince George,Stores,39.18001782,5.047396276000001,33.83818236,Stores,1000,12000,9,3,0
5527,Adolph,Roger,M,Surrey,Baker,Bakery,Surrey,Stores,42.52130644,3.9796129000000002,42.14236855,Stores,1500,18000,8,2,0
5528,Boykin,Gail,F,Abbotsford,Produce Clerk,Produce,Abbotsford,Stores,39.36758872,1.598030166,44.09938976,Stores,2000,24000,11,1,0
5529,Bell,Charlotte,F,Revelstoke,Baker,Bakery,Kelowna,Stores,42.8870275,4.651508,22.91224714,Stores,1500,18000,11,0,0
5530,Paul,Micheal,M,Surrey,Baker,Bakery,Surrey,Stores,61.03134354,5.795409811,148.62771819999998,Stores,1500,18000,4,1,0
5531,Johnson,Margaret,F,Cache Creek,Baker,Bakery,Kamloops,Stores,51.10470384,5.107749522,108.8307416,Stores,1500,18000,14,1,0
